Fold,Random Forest,Logistic Regression,Naive Bayes
1,0.9320652173913043,0.9021739130434783,0.8179347826086957
2,0.9538043478260869,0.9103260869565217,0.8070652173913043
3,0.9565217391304348,0.9266304347826086,0.8315217391304348
4,0.9429347826086957,0.9211956521739131,0.8288043478260869
5,0.9510869565217391,0.9211956521739131,0.8097826086956522
6,0.9538043478260869,0.9375,0.8206521739130435
7,0.967391304347826,0.9211956521739131,0.8097826086956522
8,0.9592391304347826,0.9510869565217391,0.8206521739130435
9,0.9646739130434783,0.9239130434782609,0.7907608695652174
10,0.9483695652173914,0.907608695652174,0.842391304347826
avg,0.9529891304347826,0.9222826086956522,0.8179347826086957
stdev,0.010331647371455699,0.014333362641197445,0.014549255800913945
